nohup: ignoring input
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:83:00.0
Total memory: 11.90GiB
Free memory: 5.98GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:83:00.0)
epoch{0}, iter[352], train loss: 223.846496, valid precision: 0.589400, valid loss: 149.933144
epoch{1}, iter[704], train loss: 157.072974, valid precision: 0.673200, valid loss: 123.807509
epoch{2}, iter[1056], train loss: 137.869499, valid precision: 0.704600, valid loss: 112.113247
epoch{3}, iter[1408], train loss: 126.293967, valid precision: 0.736600, valid loss: 101.634639
epoch{4}, iter[1760], train loss: 120.107454, valid precision: 0.743000, valid loss: 97.584900
epoch{5}, iter[2112], train loss: 115.624580, valid precision: 0.749600, valid loss: 97.453929
epoch{6}, iter[2464], train loss: 112.094644, valid precision: 0.772200, valid loss: 93.381056
epoch{7}, iter[2816], train loss: 110.670470, valid precision: 0.776400, valid loss: 92.282820
epoch{8}, iter[3168], train loss: 107.873016, valid precision: 0.782000, valid loss: 91.127759
epoch{9}, iter[3520], train loss: 106.813033, valid precision: 0.777800, valid loss: 94.130995
epoch{10}, iter[3872], train loss: 107.154373, valid precision: 0.791200, valid loss: 92.506128
epoch{11}, iter[4224], train loss: 106.195718, valid precision: 0.800000, valid loss: 91.496236
epoch{12}, iter[4576], train loss: 105.351177, valid precision: 0.794400, valid loss: 93.077579
epoch{13}, iter[4928], train loss: 105.516183, valid precision: 0.804400, valid loss: 92.147682
epoch{14}, iter[5280], train loss: 104.807372, valid precision: 0.809200, valid loss: 91.636422
epoch{15}, iter[5632], train loss: 103.954560, valid precision: 0.804600, valid loss: 93.983954
epoch{16}, iter[5984], train loss: 103.009346, valid precision: 0.807400, valid loss: 94.052054
epoch{17}, iter[6336], train loss: 103.912753, valid precision: 0.816000, valid loss: 93.054304
epoch{18}, iter[6688], train loss: 102.710023, valid precision: 0.808000, valid loss: 94.596801
epoch{19}, iter[7040], train loss: 101.506022, valid precision: 0.818800, valid loss: 94.192955
epoch{20}, iter[7392], train loss: 102.121233, valid precision: 0.820200, valid loss: 93.629546
epoch{21}, iter[7744], train loss: 101.422174, valid precision: 0.819800, valid loss: 93.899965
epoch{22}, iter[8096], train loss: 99.729562, valid precision: 0.826000, valid loss: 92.352095
