nohup: ignoring input
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:83:00.0
Total memory: 11.90GiB
Free memory: 5.98GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:83:00.0)
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:247] PoolAllocator: After 3289 get requests, put_count=3282 evicted_count=1000 eviction_rate=0.304692 and unsatisfied allocation rate=0.336576
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:259] Raising pool_size_limit_ from 100 to 110
epoch{0}, iter[352], train loss: 245.230523, valid precision: 0.358000, valid loss: 219.618176
epoch{1}, iter[704], train loss: 216.204944, valid precision: 0.428200, valid loss: 201.183965
epoch{2}, iter[1056], train loss: 186.662114, valid precision: 0.558600, valid loss: 159.530145
epoch{3}, iter[1408], train loss: 164.391231, valid precision: 0.581600, valid loss: 150.489515
epoch{4}, iter[1760], train loss: 153.170812, valid precision: 0.618000, valid loss: 138.742484
epoch{5}, iter[2112], train loss: 145.047116, valid precision: 0.637200, valid loss: 134.076589
epoch{6}, iter[2464], train loss: 137.913587, valid precision: 0.667200, valid loss: 124.761051
epoch{7}, iter[2816], train loss: 133.377194, valid precision: 0.669200, valid loss: 122.894264
epoch{8}, iter[3168], train loss: 128.011551, valid precision: 0.684400, valid loss: 115.531882
epoch{9}, iter[3520], train loss: 123.611631, valid precision: 0.697000, valid loss: 112.629808
epoch{10}, iter[3872], train loss: 120.283491, valid precision: 0.697000, valid loss: 110.722812
epoch{11}, iter[4224], train loss: 117.757931, valid precision: 0.710200, valid loss: 107.219454
epoch{12}, iter[4576], train loss: 113.919188, valid precision: 0.716400, valid loss: 105.404209
epoch{13}, iter[4928], train loss: 111.748386, valid precision: 0.725000, valid loss: 103.594640
epoch{14}, iter[5280], train loss: 109.084799, valid precision: 0.719200, valid loss: 104.364257
epoch{15}, iter[5632], train loss: 105.984502, valid precision: 0.735600, valid loss: 98.327452
epoch{16}, iter[5984], train loss: 104.034830, valid precision: 0.748800, valid loss: 96.002631
epoch{17}, iter[6336], train loss: 102.332309, valid precision: 0.750600, valid loss: 93.102401
epoch{18}, iter[6688], train loss: 99.892181, valid precision: 0.757800, valid loss: 91.209340
epoch{19}, iter[7040], train loss: 98.189599, valid precision: 0.748200, valid loss: 94.388816
epoch{20}, iter[7392], train loss: 96.414349, valid precision: 0.751400, valid loss: 94.791733
epoch{21}, iter[7744], train loss: 94.552176, valid precision: 0.761000, valid loss: 91.771612
epoch{22}, iter[8096], train loss: 92.857421, valid precision: 0.757600, valid loss: 90.156399
epoch{23}, iter[8448], train loss: 92.285052, valid precision: 0.770800, valid loss: 87.435458
epoch{24}, iter[8800], train loss: 90.231847, valid precision: 0.776200, valid loss: 87.135204
epoch{25}, iter[9152], train loss: 89.692445, valid precision: 0.778000, valid loss: 85.772335
epoch{26}, iter[9504], train loss: 87.408721, valid precision: 0.791000, valid loss: 82.863785
epoch{27}, iter[9856], train loss: 85.851568, valid precision: 0.782600, valid loss: 83.767053
epoch{28}, iter[10208], train loss: 85.247779, valid precision: 0.790200, valid loss: 84.062822
epoch{29}, iter[10560], train loss: 84.179934, valid precision: 0.795400, valid loss: 80.914563
epoch{30}, iter[10912], train loss: 82.950489, valid precision: 0.796000, valid loss: 80.127503
epoch{31}, iter[11264], train loss: 82.092965, valid precision: 0.790200, valid loss: 83.127108
epoch{32}, iter[11616], train loss: 82.534141, valid precision: 0.798000, valid loss: 80.499817
epoch{33}, iter[11968], train loss: 79.760861, valid precision: 0.799600, valid loss: 80.462727
epoch{34}, iter[12320], train loss: 79.597441, valid precision: 0.790600, valid loss: 80.554549
epoch{35}, iter[12672], train loss: 79.216151, valid precision: 0.800600, valid loss: 80.319743
epoch{36}, iter[13024], train loss: 77.815725, valid precision: 0.811200, valid loss: 77.937716
epoch{37}, iter[13376], train loss: 76.989585, valid precision: 0.808600, valid loss: 78.252115
epoch{38}, iter[13728], train loss: 76.113133, valid precision: 0.807600, valid loss: 78.370137
epoch{39}, iter[14080], train loss: 75.242006, valid precision: 0.810000, valid loss: 76.590842
epoch{40}, iter[14432], train loss: 74.298253, valid precision: 0.808600, valid loss: 76.849658
epoch{41}, iter[14784], train loss: 73.672973, valid precision: 0.811600, valid loss: 76.542980
epoch{42}, iter[15136], train loss: 73.666172, valid precision: 0.809200, valid loss: 77.694437
epoch{43}, iter[15488], train loss: 72.476284, valid precision: 0.818000, valid loss: 74.848293
epoch{44}, iter[15840], train loss: 72.468794, valid precision: 0.813600, valid loss: 77.274304
epoch{45}, iter[16192], train loss: 72.635971, valid precision: 0.812200, valid loss: 76.324054
epoch{46}, iter[16544], train loss: 72.155005, valid precision: 0.818200, valid loss: 75.612894
epoch{47}, iter[16896], train loss: 70.573412, valid precision: 0.821400, valid loss: 74.784445
epoch{48}, iter[17248], train loss: 70.617690, valid precision: 0.823200, valid loss: 74.787889
epoch{49}, iter[17600], train loss: 69.579313, valid precision: 0.821000, valid loss: 73.571252
epoch{50}, iter[17952], train loss: 69.171888, valid precision: 0.819400, valid loss: 75.682888
epoch{51}, iter[18304], train loss: 68.872992, valid precision: 0.824800, valid loss: 73.057711
epoch{52}, iter[18656], train loss: 68.645142, valid precision: 0.821800, valid loss: 74.961199
epoch{53}, iter[19008], train loss: 68.115849, valid precision: 0.826000, valid loss: 73.934830
epoch{54}, iter[19360], train loss: 66.862019, valid precision: 0.824800, valid loss: 75.212771
epoch{55}, iter[19712], train loss: 67.112556, valid precision: 0.824800, valid loss: 74.330700
epoch{56}, iter[20064], train loss: 66.188203, valid precision: 0.826200, valid loss: 73.773379
epoch{57}, iter[20416], train loss: 66.883978, valid precision: 0.821800, valid loss: 74.591343
epoch{58}, iter[20768], train loss: 66.304413, valid precision: 0.835400, valid loss: 73.327012
epoch{59}, iter[21120], train loss: 65.940830, valid precision: 0.827400, valid loss: 73.219259
epoch{60}, iter[21472], train loss: 64.735184, valid precision: 0.825200, valid loss: 75.158207
epoch{61}, iter[21824], train loss: 64.942312, valid precision: 0.833800, valid loss: 70.959794
epoch{62}, iter[22176], train loss: 64.362505, valid precision: 0.832800, valid loss: 71.622578
epoch{63}, iter[22528], train loss: 64.164197, valid precision: 0.826000, valid loss: 73.323212
epoch{64}, iter[22880], train loss: 64.377944, valid precision: 0.825800, valid loss: 75.455535
epoch{65}, iter[23232], train loss: 63.540162, valid precision: 0.842400, valid loss: 71.613441
epoch{66}, iter[23584], train loss: 63.202903, valid precision: 0.838600, valid loss: 71.502132
epoch{67}, iter[23936], train loss: 63.440908, valid precision: 0.831400, valid loss: 74.191274
epoch{68}, iter[24288], train loss: 63.330229, valid precision: 0.836400, valid loss: 73.175781
epoch{69}, iter[24640], train loss: 62.605109, valid precision: 0.840800, valid loss: 71.676168
epoch{70}, iter[24992], train loss: 61.796837, valid precision: 0.834200, valid loss: 72.384253
epoch{71}, iter[25344], train loss: 62.212579, valid precision: 0.831400, valid loss: 74.228839
epoch{72}, iter[25696], train loss: 61.729407, valid precision: 0.834800, valid loss: 72.753698
epoch{73}, iter[26048], train loss: 61.658851, valid precision: 0.839600, valid loss: 71.659847
epoch{74}, iter[26400], train loss: 61.727283, valid precision: 0.842200, valid loss: 70.957708
epoch{75}, iter[26752], train loss: 60.597797, valid precision: 0.841600, valid loss: 70.127697
epoch{76}, iter[27104], train loss: 60.554394, valid precision: 0.840600, valid loss: 73.281428
epoch{77}, iter[27456], train loss: 61.190427, valid precision: 0.841200, valid loss: 71.766580
epoch{78}, iter[27808], train loss: 60.959431, valid precision: 0.829200, valid loss: 73.022473
epoch{79}, iter[28160], train loss: 60.375004, valid precision: 0.840800, valid loss: 72.159583
epoch{80}, iter[28512], train loss: 58.918528, valid precision: 0.844600, valid loss: 71.618954
epoch{81}, iter[28864], train loss: 59.708192, valid precision: 0.843800, valid loss: 71.763667
epoch{82}, iter[29216], train loss: 59.782253, valid precision: 0.843000, valid loss: 73.281926
epoch{83}, iter[29568], train loss: 59.640516, valid precision: 0.837200, valid loss: 73.289503
epoch{84}, iter[29920], train loss: 59.094303, valid precision: 0.841600, valid loss: 72.368542
epoch{85}, iter[30272], train loss: 59.775331, valid precision: 0.848400, valid loss: 70.358326
epoch{86}, iter[30624], train loss: 58.547990, valid precision: 0.844000, valid loss: 73.129894
epoch{87}, iter[30976], train loss: 59.154215, valid precision: 0.846600, valid loss: 71.872102
epoch{88}, iter[31328], train loss: 58.690745, valid precision: 0.841800, valid loss: 71.485859
epoch{89}, iter[31680], train loss: 57.676431, valid precision: 0.841200, valid loss: 73.913587
epoch{90}, iter[32032], train loss: 58.165895, valid precision: 0.843400, valid loss: 71.384709
epoch{91}, iter[32384], train loss: 57.921273, valid precision: 0.843400, valid loss: 72.565281
epoch{92}, iter[32736], train loss: 57.952595, valid precision: 0.840200, valid loss: 74.054293
epoch{93}, iter[33088], train loss: 57.722288, valid precision: 0.836200, valid loss: 74.393162
epoch{94}, iter[33440], train loss: 57.278280, valid precision: 0.849600, valid loss: 71.522834
epoch{95}, iter[33792], train loss: 57.864321, valid precision: 0.837800, valid loss: 73.880492
epoch{96}, iter[34144], train loss: 56.742029, valid precision: 0.842800, valid loss: 72.272229
epoch{97}, iter[34496], train loss: 56.522182, valid precision: 0.845800, valid loss: 70.858445
epoch{98}, iter[34848], train loss: 57.283280, valid precision: 0.841600, valid loss: 72.003202
epoch{99}, iter[35200], train loss: 56.982121, valid precision: 0.845400, valid loss: 70.003383
epoch{100}, iter[35552], train loss: 56.189571, valid precision: 0.846000, valid loss: 73.656508
epoch{101}, iter[35904], train loss: 56.908175, valid precision: 0.849600, valid loss: 71.344276
epoch{102}, iter[36256], train loss: 56.192043, valid precision: 0.851400, valid loss: 71.962976
epoch{103}, iter[36608], train loss: 56.535612, valid precision: 0.848400, valid loss: 70.778855
epoch{104}, iter[36960], train loss: 56.322605, valid precision: 0.843200, valid loss: 70.840828
epoch{105}, iter[37312], train loss: 55.819771, valid precision: 0.844200, valid loss: 71.610287
epoch{106}, iter[37664], train loss: 55.422911, valid precision: 0.850200, valid loss: 70.906955
epoch{107}, iter[38016], train loss: 55.986909, valid precision: 0.843600, valid loss: 72.021214
epoch{108}, iter[38368], train loss: 55.824119, valid precision: 0.849800, valid loss: 71.469077
epoch{109}, iter[38720], train loss: 55.656362, valid precision: 0.841400, valid loss: 72.479703
epoch{110}, iter[39072], train loss: 55.396691, valid precision: 0.846000, valid loss: 71.234070
epoch{111}, iter[39424], train loss: 55.437184, valid precision: 0.851600, valid loss: 70.261422
epoch{112}, iter[39776], train loss: 55.945242, valid precision: 0.847400, valid loss: 71.380669
epoch{113}, iter[40128], train loss: 54.447814, valid precision: 0.845200, valid loss: 72.655901
epoch{114}, iter[40480], train loss: 55.001043, valid precision: 0.849000, valid loss: 71.290038
epoch{115}, iter[40832], train loss: 55.085652, valid precision: 0.845600, valid loss: 73.227380
epoch{116}, iter[41184], train loss: 54.707059, valid precision: 0.848000, valid loss: 74.201043
epoch{117}, iter[41536], train loss: 54.560474, valid precision: 0.848000, valid loss: 71.978836
epoch{118}, iter[41888], train loss: 54.829859, valid precision: 0.855000, valid loss: 70.538112
epoch{119}, iter[42240], train loss: 54.444185, valid precision: 0.848000, valid loss: 72.251367
epoch{120}, iter[42592], train loss: 54.095072, valid precision: 0.849600, valid loss: 71.637105
epoch{121}, iter[42944], train loss: 54.295532, valid precision: 0.852600, valid loss: 70.446685
epoch{122}, iter[43296], train loss: 53.838581, valid precision: 0.855800, valid loss: 70.801069
epoch{123}, iter[43648], train loss: 53.817747, valid precision: 0.848000, valid loss: 72.619927
epoch{124}, iter[44000], train loss: 53.225079, valid precision: 0.853200, valid loss: 72.655886
epoch{125}, iter[44352], train loss: 54.325909, valid precision: 0.847600, valid loss: 71.215313
epoch{126}, iter[44704], train loss: 53.925461, valid precision: 0.854200, valid loss: 70.748854
epoch{127}, iter[45056], train loss: 53.811396, valid precision: 0.850600, valid loss: 71.194425
epoch{128}, iter[45408], train loss: 53.663884, valid precision: 0.855800, valid loss: 71.567472
epoch{129}, iter[45760], train loss: 53.393322, valid precision: 0.854200, valid loss: 73.121305
epoch{130}, iter[46112], train loss: 53.424349, valid precision: 0.851400, valid loss: 72.339273
epoch{131}, iter[46464], train loss: 53.539031, valid precision: 0.850800, valid loss: 73.385902
epoch{132}, iter[46816], train loss: 53.141919, valid precision: 0.850600, valid loss: 72.599119
epoch{133}, iter[47168], train loss: 53.060563, valid precision: 0.854400, valid loss: 71.782227
epoch{134}, iter[47520], train loss: 52.928681, valid precision: 0.855200, valid loss: 71.854705
epoch{135}, iter[47872], train loss: 53.369865, valid precision: 0.846600, valid loss: 73.114129
epoch{136}, iter[48224], train loss: 52.816343, valid precision: 0.851800, valid loss: 71.289063
epoch{137}, iter[48576], train loss: 52.445731, valid precision: 0.853000, valid loss: 73.125458
epoch{138}, iter[48928], train loss: 52.962706, valid precision: 0.849000, valid loss: 73.970248
epoch{139}, iter[49280], train loss: 52.493625, valid precision: 0.853400, valid loss: 72.671825
epoch{140}, iter[49632], train loss: 52.839733, valid precision: 0.851800, valid loss: 71.834774
epoch{141}, iter[49984], train loss: 53.041962, valid precision: 0.847400, valid loss: 73.493567
epoch{142}, iter[50336], train loss: 47.371858, valid precision: 0.861400, valid loss: 70.331332
epoch{143}, iter[50688], train loss: 44.934181, valid precision: 0.860000, valid loss: 70.245067
epoch{144}, iter[51040], train loss: 44.886299, valid precision: 0.862800, valid loss: 70.629690
epoch{145}, iter[51392], train loss: 44.266143, valid precision: 0.864000, valid loss: 69.087175
epoch{146}, iter[51744], train loss: 43.567281, valid precision: 0.862400, valid loss: 69.059459
epoch{147}, iter[52096], train loss: 43.209601, valid precision: 0.860800, valid loss: 71.707718
epoch{148}, iter[52448], train loss: 43.111675, valid precision: 0.863600, valid loss: 70.129359
epoch{149}, iter[52800], train loss: 42.675291, valid precision: 0.865000, valid loss: 69.993255
epoch{150}, iter[53152], train loss: 42.542156, valid precision: 0.857800, valid loss: 70.663781
epoch{151}, iter[53504], train loss: 41.991942, valid precision: 0.861000, valid loss: 70.817309
epoch{152}, iter[53856], train loss: 41.835843, valid precision: 0.863200, valid loss: 70.206861
epoch{153}, iter[54208], train loss: 41.684237, valid precision: 0.856200, valid loss: 72.185652
epoch{154}, iter[54560], train loss: 41.953314, valid precision: 0.864400, valid loss: 69.593006
epoch{155}, iter[54912], train loss: 42.073132, valid precision: 0.861400, valid loss: 68.693441
epoch{156}, iter[55264], train loss: 41.847915, valid precision: 0.859800, valid loss: 70.274244
epoch{157}, iter[55616], train loss: 40.984054, valid precision: 0.861800, valid loss: 70.411773
epoch{158}, iter[55968], train loss: 40.753820, valid precision: 0.857000, valid loss: 71.810053
epoch{159}, iter[56320], train loss: 40.867604, valid precision: 0.858600, valid loss: 71.596533
epoch{160}, iter[56672], train loss: 40.820480, valid precision: 0.866600, valid loss: 71.554091
epoch{161}, iter[57024], train loss: 40.262848, valid precision: 0.860600, valid loss: 71.885873
epoch{162}, iter[57376], train loss: 40.472539, valid precision: 0.864800, valid loss: 70.877812
epoch{163}, iter[57728], train loss: 40.129495, valid precision: 0.857000, valid loss: 72.231102
epoch{164}, iter[58080], train loss: 40.265622, valid precision: 0.861200, valid loss: 70.863020
epoch{165}, iter[58432], train loss: 39.849618, valid precision: 0.859000, valid loss: 72.711242
epoch{166}, iter[58784], train loss: 39.821641, valid precision: 0.860800, valid loss: 71.569469
epoch{167}, iter[59136], train loss: 40.471094, valid precision: 0.858200, valid loss: 72.164533
epoch{168}, iter[59488], train loss: 39.341712, valid precision: 0.865200, valid loss: 70.155426
epoch{169}, iter[59840], train loss: 39.351611, valid precision: 0.862000, valid loss: 73.093377
epoch{170}, iter[60192], train loss: 39.778960, valid precision: 0.863000, valid loss: 72.294977
epoch{171}, iter[60544], train loss: 38.932247, valid precision: 0.858200, valid loss: 72.948600
epoch{172}, iter[60896], train loss: 38.769858, valid precision: 0.864800, valid loss: 71.775106
epoch{173}, iter[61248], train loss: 39.635481, valid precision: 0.865000, valid loss: 72.403012
epoch{174}, iter[61600], train loss: 39.198186, valid precision: 0.863800, valid loss: 70.534035
epoch{175}, iter[61952], train loss: 39.327638, valid precision: 0.861400, valid loss: 70.528048
epoch{176}, iter[62304], train loss: 38.957201, valid precision: 0.852600, valid loss: 74.090428
epoch{177}, iter[62656], train loss: 39.139393, valid precision: 0.856800, valid loss: 72.735098
epoch{178}, iter[63008], train loss: 39.194253, valid precision: 0.860800, valid loss: 71.054203
