nohup: ignoring input
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:83:00.0
Total memory: 11.90GiB
Free memory: 3.19GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:83:00.0)
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:247] PoolAllocator: After 2205 get requests, put_count=2139 evicted_count=1000 eviction_rate=0.467508 and unsatisfied allocation rate=0.528798
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:259] Raising pool_size_limit_ from 100 to 110
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:247] PoolAllocator: After 7938 get requests, put_count=7934 evicted_count=1000 eviction_rate=0.12604 and unsatisfied allocation rate=0.129378
I tensorflow/core/common_runtime/gpu/pool_allocator.cc:259] Raising pool_size_limit_ from 256 to 281
epoch{0}, iter[352], train loss: 215.143634, valid precision: 0.525200, valid loss: 172.084672
epoch{1}, iter[704], train loss: 153.032402, valid precision: 0.659800, valid loss: 124.624932
epoch{2}, iter[1056], train loss: 120.950460, valid precision: 0.728800, valid loss: 101.283547
epoch{3}, iter[1408], train loss: 103.335661, valid precision: 0.770000, valid loss: 88.145847
epoch{4}, iter[1760], train loss: 93.589589, valid precision: 0.789200, valid loss: 80.384399
epoch{5}, iter[2112], train loss: 86.657286, valid precision: 0.794400, valid loss: 77.603062
epoch{6}, iter[2464], train loss: 82.037151, valid precision: 0.808000, valid loss: 72.895305
epoch{7}, iter[2816], train loss: 77.915171, valid precision: 0.808600, valid loss: 73.455226
epoch{8}, iter[3168], train loss: 75.048815, valid precision: 0.812400, valid loss: 71.250052
epoch{9}, iter[3520], train loss: 72.213530, valid precision: 0.807000, valid loss: 75.040146
epoch{10}, iter[3872], train loss: 70.045988, valid precision: 0.826200, valid loss: 67.598160
epoch{11}, iter[4224], train loss: 67.970033, valid precision: 0.828200, valid loss: 68.297017
epoch{12}, iter[4576], train loss: 66.605965, valid precision: 0.831400, valid loss: 68.481041
epoch{13}, iter[4928], train loss: 64.851599, valid precision: 0.840800, valid loss: 65.211710
epoch{14}, iter[5280], train loss: 62.524988, valid precision: 0.837200, valid loss: 66.514307
epoch{15}, iter[5632], train loss: 62.120605, valid precision: 0.836000, valid loss: 65.833217
epoch{16}, iter[5984], train loss: 61.006418, valid precision: 0.835800, valid loss: 66.853570
epoch{17}, iter[6336], train loss: 59.560893, valid precision: 0.839600, valid loss: 65.997288
epoch{18}, iter[6688], train loss: 58.708749, valid precision: 0.838800, valid loss: 67.116272
epoch{19}, iter[7040], train loss: 58.152666, valid precision: 0.848600, valid loss: 64.788043
epoch{20}, iter[7392], train loss: 57.298809, valid precision: 0.845800, valid loss: 63.874563
epoch{21}, iter[7744], train loss: 56.503647, valid precision: 0.847400, valid loss: 63.542632
epoch{22}, iter[8096], train loss: 55.861458, valid precision: 0.849600, valid loss: 64.216947
epoch{23}, iter[8448], train loss: 54.799864, valid precision: 0.851000, valid loss: 64.261498
epoch{24}, iter[8800], train loss: 54.548847, valid precision: 0.852600, valid loss: 64.637186
epoch{25}, iter[9152], train loss: 53.335184, valid precision: 0.853000, valid loss: 63.999261
epoch{26}, iter[9504], train loss: 52.602758, valid precision: 0.854600, valid loss: 64.806667
epoch{27}, iter[9856], train loss: 52.037338, valid precision: 0.861400, valid loss: 64.135479
epoch{28}, iter[10208], train loss: 51.582461, valid precision: 0.859000, valid loss: 64.508638
epoch{29}, iter[10560], train loss: 50.875192, valid precision: 0.861800, valid loss: 64.285693
